Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150604-0000_12_12_000_00,wrf-s3cn_arw_uh_max_20150604-0000_12_12_000,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-78.81643,24.81471,37.58646,66.98139,0.66807,13.60847,0.00000,0.00000,51.89869,64.19200,39.41814,6.22756,0.00000,0.00000,13.09875,21.82621,5.97065,3.49558,0.00000,0.00000,8.35885,18.16132,1.59410,4.38109,0.00000,0.00000,-3.68007,-1.84122,-8.54282,1.10574,0.00000,0.00000,414.10510,1667.06812,5.44790,393.90137,0.00000,0.00000,-43.35532,-0.03032,-140.54591,37.85699,0.00000,0.00000,235.61115,349.00482,120.22393,54.01086,0.00000,0.00000,315.42340,536.17609,106.93342,99.63055,0.00000,0.00000,0.00427,0.00575,0.00273,0.00064,0.00000,0.00000,-8.68917,-4.09562,-10.35839,1.53492,0.00000,0.00000,7.84618,9.42155,6.93690,0.68766,0.00000,0.00000,75.21550,78.28957,72.97785,1.12816,0.00000,0.00000,76.92399,80.11578,75.02449,1.00670,0.00000,0.00000,13.45133,15.09519,12.53188,0.50725,0.00000,0.00000,3.39620,5.43258,2.29142,0.75510,0.00000,0.00000,-5.43798,-4.86464,-6.17078,0.25577,0.00000,0.00000,-6.14234,-4.69554,-7.21228,0.51985,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_00,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-72.60792,26.95425,37.48391,69.09406,6.58026,14.37721,0.00000,0.00000,48.18964,58.85567,28.86335,7.49829,0.00000,0.00000,10.01484,16.87646,2.92719,3.37245,0.00000,0.00000,7.59785,18.64878,0.74344,4.21256,0.00000,0.00000,-2.33895,-1.21413,-4.26719,0.71419,0.00000,0.00000,529.19171,1167.68811,181.63812,234.82449,0.00000,0.00000,-2.68183,0.00000,-33.11772,6.88169,0.00000,0.00000,134.35905,204.87614,42.62552,51.57827,0.00000,0.00000,322.46454,515.89862,90.46212,116.72694,0.00000,0.00000,0.00350,0.00546,0.00032,0.00143,0.00000,0.00000,-6.45288,-5.44996,-7.56239,0.45928,0.00000,0.00000,7.14334,9.03665,5.37044,0.92303,0.00000,0.00000,75.91827,76.68919,74.97335,0.37930,0.00000,0.00000,76.80706,78.06468,75.45323,0.52848,0.00000,0.00000,12.64338,14.23099,11.02048,0.79356,0.00000,0.00000,4.39994,4.84486,4.02563,0.18983,0.00000,0.00000,-5.63888,-4.87167,-6.20613,0.34824,0.00000,0.00000,-5.04613,-4.36349,-5.81728,0.39857,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_01,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 13:00:00,13.00000,13.00000,2.00000,-72.57489,27.06505,35.75986,83.90901,1.99833,17.70327,-1.72405,14.81496,46.14959,57.50948,27.99168,7.49090,-2.04006,-1.34619,9.98324,17.02434,3.81152,2.88834,-0.03160,0.14788,6.49785,15.06474,1.09054,3.59651,-1.10000,-3.58404,-2.48474,-0.50194,-6.51062,0.95004,-0.14579,0.71218,335.03317,1095.73450,38.83671,233.82477,-194.15854,-71.95361,-9.74635,0.00000,-76.24333,15.15121,-7.06451,0.00000,134.97278,204.02800,64.08732,41.49295,0.61372,-0.84814,295.79868,519.64258,-36.11021,140.73862,-26.66586,3.74396,0.00356,0.00599,0.00081,0.00126,0.00007,0.00053,-6.59480,-4.55091,-7.38721,0.62236,-0.14193,0.89905,6.98233,9.39146,4.90736,0.93236,-0.16101,0.35481,75.43101,76.50896,74.27369,0.56145,-0.48727,-0.18023,76.34196,77.51064,74.87459,0.66313,-0.46510,-0.55404,12.33181,14.00083,10.28065,0.80249,-0.31157,-0.23015,4.36806,5.23249,4.09501,0.25094,-0.03188,0.38763,-5.59805,-4.70467,-6.32582,0.34444,0.04083,0.16700,-5.03887,-4.27612,-5.90185,0.33881,0.00726,0.08737,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_02,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 14:00:00,14.00000,14.00000,3.00000,-72.48764,27.11588,34.06346,66.07954,9.80765,13.53223,-1.69640,-17.82948,48.26779,55.91193,36.65235,4.47126,2.11821,-1.59754,10.57868,14.78468,5.29213,2.40140,0.59544,-2.23966,7.06347,14.39162,2.39024,2.62703,0.56562,-0.67312,-2.44030,-1.00977,-5.20984,0.86611,0.04443,-0.50783,471.78949,1324.68994,142.59183,271.86520,136.75632,228.95544,-6.01474,0.00000,-64.07651,12.75314,3.73161,0.00000,140.59926,216.05064,65.89806,36.39217,5.62648,12.02264,269.92337,478.31796,112.76544,72.17500,-25.87531,-41.32462,0.00341,0.00544,0.00024,0.00120,-0.00015,-0.00055,-6.67683,-5.18266,-7.79187,0.52062,-0.08203,-0.63175,7.17324,8.99226,5.54776,0.84573,0.19091,-0.39920,75.53751,77.08669,73.69811,0.72319,0.10650,0.57772,76.53657,78.58126,74.74313,0.80488,0.19460,1.07062,12.84661,13.98954,11.01071,0.61664,0.51480,-0.01129,4.35247,4.95889,3.95282,0.19674,-0.01559,-0.27359,-5.55800,-4.82676,-6.28994,0.36272,0.04004,-0.12209,-5.14077,-4.46435,-5.94763,0.40125,-0.10190,-0.18823,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_03,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 15:00:00,15.00000,15.00000,4.00000,-72.40965,27.22332,37.55774,93.40118,8.51832,17.27797,3.49427,27.32164,46.51917,55.65244,38.20060,4.04706,-1.74863,-0.25949,9.74195,13.84957,5.85752,1.94152,-0.83672,-0.93511,5.89455,13.77317,2.37487,2.50274,-1.16892,-0.61845,-2.43166,-0.99884,-5.21839,0.84653,0.00865,0.01093,411.43008,769.81372,53.67995,182.00183,-60.35941,-554.87622,-3.13746,0.00000,-33.83877,6.41336,2.87728,0.00000,166.80318,263.16693,60.89601,47.20095,26.20392,47.11629,323.60782,494.57248,74.64799,95.59484,53.68445,16.25452,0.00451,0.00593,0.00230,0.00105,0.00110,0.00049,-5.93062,-5.12288,-6.81398,0.37579,0.74621,0.05978,6.61101,8.68024,5.31384,1.11579,-0.56223,-0.31202,75.84598,76.66162,74.73264,0.44268,0.30847,-0.42506,77.03386,78.43333,75.09541,0.78252,0.49729,-0.14793,12.64930,13.79764,11.00997,0.71745,-0.19731,-0.19190,4.57642,4.98292,4.30372,0.15551,0.22395,0.02403,-5.83858,-4.83571,-6.34202,0.44089,-0.28057,-0.00895,-4.65130,-4.05084,-5.73720,0.47596,0.48946,0.41351,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_04,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 16:00:00,16.00000,16.00000,5.00000,-72.21576,27.25693,30.26547,39.83779,20.16103,4.82725,-7.29226,-53.56339,48.98836,55.17381,37.15091,4.71018,2.46920,-0.47863,11.01269,13.31166,8.55568,1.28773,1.27074,-0.53791,7.09780,11.28899,2.44299,2.30392,1.20325,-2.48418,-2.37452,-1.49241,-3.92761,0.69293,0.05714,-0.49357,1011.86603,1233.28613,739.11267,104.11263,600.43591,463.47241,-0.02378,0.00000,-0.21734,0.04947,3.11368,0.00000,248.94670,348.26614,179.47588,41.87360,82.14352,85.09921,234.84666,281.32437,183.39973,19.53795,-88.76115,-213.24811,0.00421,0.00561,0.00335,0.00057,-0.00030,-0.00032,-6.26593,-5.79079,-7.12244,0.27271,-0.33531,-0.66791,5.78178,6.46551,5.37766,0.28869,-0.82923,-2.21472,76.34315,76.51314,76.03590,0.10837,0.49718,-0.14848,78.26662,78.93013,77.33596,0.38310,1.23277,0.49680,12.17495,12.54934,11.83969,0.13203,-0.47435,-1.24831,4.50631,4.65455,4.18953,0.09420,-0.07011,-0.32837,-6.31418,-6.04849,-6.51698,0.12471,-0.47561,-1.21278,-4.47932,-4.20030,-5.05573,0.17123,0.17199,-0.14946,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001_05,wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 17:00:00,17.00000,17.00000,6.00000,-72.07964,27.30773,34.08654,49.45642,23.16881,6.70535,3.82107,9.61863,51.03586,56.50496,41.31410,4.19752,2.04750,1.33115,11.66077,14.90370,6.91985,1.91579,0.64808,1.59204,9.10620,15.02412,3.38642,3.45265,2.00840,3.73514,-2.50580,-1.39817,-4.07561,0.59733,-0.13129,0.09424,1234.57471,1529.06677,113.23256,273.41000,222.70868,295.78064,-0.69984,0.00000,-15.36365,2.77884,-0.67605,0.00000,235.14285,309.62305,146.23103,41.57954,-13.80385,-38.64310,167.31088,186.36691,90.61120,19.27602,-67.53578,-94.95746,0.00391,0.00488,0.00237,0.00054,-0.00030,-0.00073,-6.62965,-5.38242,-7.19329,0.29534,-0.36372,0.40836,6.04666,8.81518,5.28832,0.82412,0.26488,2.34967,76.42856,76.73770,74.86091,0.34547,0.08540,0.22456,78.26253,78.99237,75.25570,0.72284,-0.00410,0.06224,12.31848,13.66725,11.72644,0.48265,0.14353,1.11792,4.29716,4.87322,4.08143,0.14601,-0.20915,0.21867,-6.23470,-4.80521,-6.50667,0.37686,0.07948,1.24329,-4.71658,-4.41453,-5.43294,0.27321,-0.23726,-0.21423,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_12_12_002_00,wrf-s3cn_arw_uh_max_20150604-0000_12_12_002,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-101.46137,40.70631,63.52134,146.41003,0.00000,31.43531,0.00000,0.00000,57.59636,68.45335,39.43952,6.42014,0.00000,0.00000,17.75484,26.86330,4.57511,4.84252,0.00000,0.00000,14.58430,30.62951,2.58869,5.91461,0.00000,0.00000,-3.90854,-1.88562,-8.25124,1.40017,0.00000,0.00000,803.59192,1445.96912,0.45236,418.19537,0.00000,0.00000,-51.27911,-0.40650,-393.77081,90.83366,0.00000,0.00000,1048.63196,1172.24231,989.67670,30.56492,0.00000,0.00000,176.97772,696.49677,-3.22279,115.70347,0.00000,0.00000,0.00380,0.00544,0.00073,0.00099,0.00000,0.00000,-9.73642,-5.26728,-11.10042,1.32658,0.00000,0.00000,7.57180,9.20736,4.21859,0.90067,0.00000,0.00000,63.44905,64.39643,57.70641,1.27163,0.00000,0.00000,63.99975,65.42903,58.85081,1.17711,0.00000,0.00000,12.94308,13.80351,9.85719,0.93823,0.00000,0.00000,2.96957,4.90052,1.81250,0.73618,0.00000,0.00000,-5.29841,-4.36025,-6.11598,0.32301,0.00000,0.00000,-6.45201,-3.88353,-7.35153,0.73687,0.00000,0.00000,35.65527
wrf-s3cn_arw_uh_max_20150604-0000_13_14_003_00,wrf-s3cn_arw_uh_max_20150604-0000_13_14_003,2015-06-04 13:00:00,13.00000,13.00000,1.00000,-97.71064,39.82659,32.75735,46.88395,13.72120,8.20291,0.00000,0.00000,52.99443,57.48095,45.20692,2.36767,0.00000,0.00000,14.53302,22.44819,7.68084,3.43781,0.00000,0.00000,9.81952,15.70224,5.14976,2.67343,0.00000,0.00000,-3.69999,-2.54739,-6.07506,0.66821,0.00000,0.00000,5.53649,98.06993,0.00000,18.64528,0.00000,0.00000,-486.55899,-235.85326,-696.50476,129.17583,0.00000,0.00000,746.53723,851.03992,574.99805,73.74191,0.00000,0.00000,293.72986,500.80899,60.34491,123.51319,0.00000,0.00000,0.00429,0.00517,0.00249,0.00063,0.00000,0.00000,-8.77119,-6.37621,-11.54892,1.41849,0.00000,0.00000,7.77736,8.66251,6.27387,0.60095,0.00000,0.00000,61.87664,62.87867,61.28703,0.39931,0.00000,0.00000,64.47004,65.43557,63.21018,0.53704,0.00000,0.00000,11.55039,13.55085,9.60686,1.04177,0.00000,0.00000,3.62870,4.48572,2.69462,0.50959,0.00000,0.00000,-4.06540,-3.67731,-4.64573,0.25694,0.00000,0.00000,-6.16532,-5.23895,-7.30092,0.44997,0.00000,0.00000,19.57031
wrf-s3cn_arw_uh_max_20150604-0000_13_14_003_01,wrf-s3cn_arw_uh_max_20150604-0000_13_14_003,2015-06-04 14:00:00,14.00000,14.00000,2.00000,-96.88798,39.71059,54.98883,96.33080,15.77230,18.98342,22.23149,49.44685,58.16661,69.39132,46.89901,5.62427,5.17218,11.91037,17.96999,28.79440,8.87418,4.35921,3.43697,6.34621,16.37946,36.81919,6.03281,6.88077,6.55994,21.11695,-5.05271,-1.85815,-9.70740,1.74121,-1.35272,0.68924,911.65533,1245.79114,187.09035,171.19313,906.11884,1147.72119,-32.00123,-6.46550,-125.57472,15.39985,454.55777,229.38776,458.14392,535.13654,415.88852,26.27425,-288.39331,-315.90338,31.40132,110.45869,-19.57734,27.17682,-262.32855,-390.35031,0.00374,0.00526,0.00167,0.00067,-0.00056,0.00009,-10.76391,-6.13340,-12.50835,1.40259,-1.99272,0.24281,7.53091,9.45594,6.60888,0.48778,-0.24646,0.79343,67.81635,68.28394,67.53989,0.18392,5.93971,5.40527,68.39279,69.22624,67.92557,0.29826,3.92275,3.79067,13.15357,13.83573,12.02020,0.47358,1.60318,0.28488,2.86938,4.58155,2.25077,0.50086,-0.75932,0.09583,-4.74845,-4.18401,-5.15668,0.18755,-0.68305,-0.50670,-6.83012,-5.35794,-7.57005,0.49869,-0.66480,-0.11898,29.17480
