Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150604-0000_12_12_000_00,obs_wrf-s3cn_arw_20150604-0000_12_12_000,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-93.99205,39.45726,11.28709,28.31055,0.00000,6.11892,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_12_12_001_00,obs_wrf-s3cn_arw_20150604-0000_12_12_001,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-98.29138,39.53235,10.98776,35.65527,0.00195,6.98392,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_12_14_002_00,obs_wrf-s3cn_arw_20150604-0000_12_14_002,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-97.32116,40.20759,26.70197,49.64844,10.28906,9.12167,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_12_14_002_01,obs_wrf-s3cn_arw_20150604-0000_12_14_002,2015-06-04 13:00:00,13.00000,13.00000,2.00000,-97.71297,39.48513,19.57694,51.35352,2.95508,8.48578,-7.12503,1.70508
obs_wrf-s3cn_arw_20150604-0000_12_14_002_02,obs_wrf-s3cn_arw_20150604-0000_12_14_002,2015-06-04 14:00:00,14.00000,14.00000,3.00000,-97.38830,39.38026,15.39604,30.39844,3.70020,5.94432,-4.18089,-20.95508
obs_wrf-s3cn_arw_20150604-0000_12_12_003_00,obs_wrf-s3cn_arw_20150604-0000_12_12_003,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-99.53023,40.63864,11.57525,27.87109,0.00000,6.63024,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_12_12_004_00,obs_wrf-s3cn_arw_20150604-0000_12_12_004,2015-06-04 12:00:00,12.00000,12.00000,1.00000,-101.82776,43.55970,13.24721,35.33984,0.22852,7.81752,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_13_19_005_00,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 13:00:00,13.00000,13.00000,1.00000,-97.13055,39.97088,17.98865,38.69434,2.97266,7.36168,0.00000,0.00000
obs_wrf-s3cn_arw_20150604-0000_13_19_005_01,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 14:00:00,14.00000,14.00000,2.00000,-96.80640,39.61510,15.99057,31.56934,1.97559,7.32405,-1.99808,-7.12500
obs_wrf-s3cn_arw_20150604-0000_13_19_005_02,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 15:00:00,15.00000,15.00000,3.00000,-96.64540,39.47481,12.01884,27.63770,0.29883,6.04471,-3.97172,-3.93164
obs_wrf-s3cn_arw_20150604-0000_13_19_005_03,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 16:00:00,16.00000,16.00000,4.00000,-97.22211,39.56915,12.09334,29.37305,0.00000,7.02501,0.07449,1.73535
obs_wrf-s3cn_arw_20150604-0000_13_19_005_04,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 17:00:00,17.00000,17.00000,5.00000,-96.99540,39.45145,12.27397,30.37109,0.09570,6.36499,0.18064,0.99805
obs_wrf-s3cn_arw_20150604-0000_13_19_005_05,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 18:00:00,18.00000,18.00000,6.00000,-96.27723,39.07988,13.09385,40.17285,0.14551,9.09100,0.81988,9.80176
obs_wrf-s3cn_arw_20150604-0000_13_19_005_06,obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 19:00:00,19.00000,19.00000,7.00000,-96.01580,38.91417,17.57335,73.72656,0.00000,18.57567,4.47949,33.55371
obs_wrf-s3cn_arw_20150604-0000_13_13_006_00,obs_wrf-s3cn_arw_20150604-0000_13_13_006,2015-06-04 13:00:00,13.00000,13.00000,1.00000,-96.64512,40.26292,10.16346,31.82617,0.12500,7.89157,0.00000,0.00000
