Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150604-0000_12_12_000,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150604-0000_12_17_001,2015-06-04 12:00:00,2015-06-04 17:00:00,6.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150604-0000_12_12_002,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150604-0000_12_12_001,-256712.50277,135898.91262,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_13_14_003,2015-06-04 13:00:00,2015-06-04 14:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150604-0000_13_14_008,9953.39895,-50960.65877,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_14_14_004,2015-06-04 14:00:00,2015-06-04 14:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150604-0000_12_12_003,-41222.60835,56723.67163,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150604-0000_15_15_005,2015-06-04 15:00:00,2015-06-04 15:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150604-0000_15_19_006,2015-06-04 15:00:00,2015-06-04 19:00:00,5.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150604-0000_13_19_005,-94673.10389,-49316.41278,2.00000,0.00000
wrf-s3cn_arw_uh_max_20150604-0000_16_16_007,2015-06-04 16:00:00,2015-06-04 16:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150604-0000_16_17_008,2015-06-04 16:00:00,2015-06-04 17:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150604-0000_13_14_007,67130.75898,-71536.87511,3.00000,3.00000
wrf-s3cn_arw_uh_max_20150604-0000_17_17_009,2015-06-04 17:00:00,2015-06-04 17:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
