Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150604-0000_12_12_000,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_18_18_011
obs_wrf-s3cn_arw_20150604-0000_12_12_001,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_12_12_002
obs_wrf-s3cn_arw_20150604-0000_12_14_002,2015-06-04 12:00:00,2015-06-04 14:00:00,3.00000,None
obs_wrf-s3cn_arw_20150604-0000_12_12_003,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_14_14_004
obs_wrf-s3cn_arw_20150604-0000_12_12_004,2015-06-04 12:00:00,2015-06-04 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_25_25_028
obs_wrf-s3cn_arw_20150604-0000_13_19_005,2015-06-04 13:00:00,2015-06-04 19:00:00,7.00000,wrf-s3cn_arw_uh_max_20150604-0000_15_19_006
obs_wrf-s3cn_arw_20150604-0000_13_13_006,2015-06-04 13:00:00,2015-06-04 13:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_28_28_036
obs_wrf-s3cn_arw_20150604-0000_13_14_007,2015-06-04 13:00:00,2015-06-04 14:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_16_17_008
obs_wrf-s3cn_arw_20150604-0000_13_14_008,2015-06-04 13:00:00,2015-06-04 14:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_13_14_003
obs_wrf-s3cn_arw_20150604-0000_13_13_009,2015-06-04 13:00:00,2015-06-04 13:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_28_28_037
obs_wrf-s3cn_arw_20150604-0000_15_15_010,2015-06-04 15:00:00,2015-06-04 15:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_20_20_013
obs_wrf-s3cn_arw_20150604-0000_21_25_011,2015-06-04 21:00:00,2015-06-05 01:00:00,5.00000,wrf-s3cn_arw_uh_max_20150604-0000_24_27_023
obs_wrf-s3cn_arw_20150604-0000_21_22_012,2015-06-04 21:00:00,2015-06-04 22:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_26_27_031
obs_wrf-s3cn_arw_20150604-0000_21_23_013,2015-06-04 21:00:00,2015-06-04 23:00:00,3.00000,wrf-s3cn_arw_uh_max_20150604-0000_23_23_021
obs_wrf-s3cn_arw_20150604-0000_22_23_014,2015-06-04 22:00:00,2015-06-04 23:00:00,2.00000,None
obs_wrf-s3cn_arw_20150604-0000_23_23_015,2015-06-04 23:00:00,2015-06-04 23:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_24_24_026
obs_wrf-s3cn_arw_20150604-0000_24_25_016,2015-06-05 00:00:00,2015-06-05 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_23_25_019
obs_wrf-s3cn_arw_20150604-0000_24_24_017,2015-06-05 00:00:00,2015-06-05 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150604-0000_24_24_024
obs_wrf-s3cn_arw_20150604-0000_24_25_018,2015-06-05 00:00:00,2015-06-05 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_21_23_015
obs_wrf-s3cn_arw_20150604-0000_24_25_019,2015-06-05 00:00:00,2015-06-05 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150604-0000_20_24_012
