Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150525-0000_12_15_000_00,obs_wrf-s3cn_arw_20150525-0000_12_15_000,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-100.90598,29.37412,17.64545,37.51660,1.62402,8.60124,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_12_15_000_01,obs_wrf-s3cn_arw_20150525-0000_12_15_000,2015-05-25 13:00:00,13.00000,13.00000,2.00000,-100.60261,29.60113,19.49145,43.75293,1.82422,8.86611,1.84601,6.23633
obs_wrf-s3cn_arw_20150525-0000_12_15_000_02,obs_wrf-s3cn_arw_20150525-0000_12_15_000,2015-05-25 14:00:00,14.00000,14.00000,3.00000,-100.29864,29.81493,13.48551,50.32129,0.07715,8.81138,-6.00594,6.56836
obs_wrf-s3cn_arw_20150525-0000_12_15_000_03,obs_wrf-s3cn_arw_20150525-0000_12_15_000,2015-05-25 15:00:00,15.00000,15.00000,4.00000,-99.98558,30.05636,12.14951,27.58594,0.82129,6.40784,-1.33600,-22.73535
obs_wrf-s3cn_arw_20150525-0000_12_12_001_00,obs_wrf-s3cn_arw_20150525-0000_12_12_001,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-102.89681,32.15375,12.15314,31.67969,0.10645,7.28627,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_12_13_002_00,obs_wrf-s3cn_arw_20150525-0000_12_13_002,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-102.21705,32.23616,15.57018,38.66504,0.00000,8.49657,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_12_13_002_01,obs_wrf-s3cn_arw_20150525-0000_12_13_002,2015-05-25 13:00:00,13.00000,13.00000,2.00000,-102.42867,32.13698,10.39953,38.62402,2.00684,5.95515,-5.17066,-0.04102
obs_wrf-s3cn_arw_20150525-0000_12_15_003_00,obs_wrf-s3cn_arw_20150525-0000_12_15_003,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-101.57441,32.25049,20.50277,47.01465,1.93848,9.23536,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_12_15_003_01,obs_wrf-s3cn_arw_20150525-0000_12_15_003,2015-05-25 13:00:00,13.00000,13.00000,2.00000,-101.46384,32.38020,25.83737,39.55273,8.91992,6.14134,5.33460,-7.46191
obs_wrf-s3cn_arw_20150525-0000_12_15_003_02,obs_wrf-s3cn_arw_20150525-0000_12_15_003,2015-05-25 14:00:00,14.00000,14.00000,3.00000,-101.54182,32.21944,14.79818,32.17871,2.79297,6.80734,-11.03919,-7.37402
obs_wrf-s3cn_arw_20150525-0000_12_15_003_03,obs_wrf-s3cn_arw_20150525-0000_12_15_003,2015-05-25 15:00:00,15.00000,15.00000,4.00000,-100.77059,32.79234,13.85145,30.58887,3.87988,6.20394,-0.94674,-1.58984
obs_wrf-s3cn_arw_20150525-0000_13_15_004_00,obs_wrf-s3cn_arw_20150525-0000_13_15_004,2015-05-25 13:00:00,13.00000,13.00000,1.00000,-101.92058,31.45579,15.78176,42.54980,1.40820,7.94828,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_13_15_004_01,obs_wrf-s3cn_arw_20150525-0000_13_15_004,2015-05-25 14:00:00,14.00000,14.00000,2.00000,-101.68418,31.43951,13.16547,35.87305,0.07812,6.64029,-2.61629,-6.67676
obs_wrf-s3cn_arw_20150525-0000_13_15_004_02,obs_wrf-s3cn_arw_20150525-0000_13_15_004,2015-05-25 15:00:00,15.00000,15.00000,3.00000,-101.37706,31.49227,12.91993,35.56250,0.99902,7.22793,-0.24554,-0.31055
obs_wrf-s3cn_arw_20150525-0000_14_15_005_00,obs_wrf-s3cn_arw_20150525-0000_14_15_005,2015-05-25 14:00:00,14.00000,14.00000,1.00000,-99.59129,30.21370,11.88624,21.34668,2.14258,4.65279,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_14_15_005_01,obs_wrf-s3cn_arw_20150525-0000_14_15_005,2015-05-25 15:00:00,15.00000,15.00000,2.00000,-99.26140,30.34225,10.39946,19.02246,2.95215,3.76706,-1.48677,-2.32422
obs_wrf-s3cn_arw_20150525-0000_14_14_006_00,obs_wrf-s3cn_arw_20150525-0000_14_14_006,2015-05-25 14:00:00,14.00000,14.00000,1.00000,-101.00354,32.65068,16.51800,29.10742,4.85938,4.71546,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_15_17_007_00,obs_wrf-s3cn_arw_20150525-0000_15_17_007,2015-05-25 15:00:00,15.00000,15.00000,1.00000,-100.58978,32.20479,9.08058,17.17969,2.62012,3.45928,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_15_17_007_01,obs_wrf-s3cn_arw_20150525-0000_15_17_007,2015-05-25 16:00:00,16.00000,16.00000,2.00000,-100.25953,32.73221,8.51470,18.07910,3.29590,3.62297,-0.56588,0.89941
obs_wrf-s3cn_arw_20150525-0000_15_17_007_02,obs_wrf-s3cn_arw_20150525-0000_15_17_007,2015-05-25 17:00:00,17.00000,17.00000,3.00000,-99.52004,33.45316,9.97497,24.41797,4.02734,4.33969,1.46027,6.33887
obs_wrf-s3cn_arw_20150525-0000_16_16_008_00,obs_wrf-s3cn_arw_20150525-0000_16_16_008,2015-05-25 16:00:00,16.00000,16.00000,1.00000,-100.06514,31.86677,8.55762,27.38281,1.76172,5.79595,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_16_20_009_00,obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 16:00:00,16.00000,16.00000,1.00000,-99.95641,32.26502,8.21572,17.51758,2.70410,3.64518,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_16_20_009_01,obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 17:00:00,17.00000,17.00000,2.00000,-99.49383,33.01968,12.28103,23.09180,3.12891,4.54483,4.06531,5.57422
obs_wrf-s3cn_arw_20150525-0000_16_20_009_02,obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 18:00:00,18.00000,18.00000,3.00000,-98.62280,33.25462,15.75073,30.41895,6.48242,4.28522,3.46969,7.32715
obs_wrf-s3cn_arw_20150525-0000_16_20_009_03,obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 19:00:00,19.00000,19.00000,4.00000,-98.19410,33.53609,13.10208,26.58203,3.43555,4.55866,-2.64864,-3.83691
obs_wrf-s3cn_arw_20150525-0000_16_20_009_04,obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 20:00:00,20.00000,20.00000,5.00000,-97.45202,33.72556,10.09959,33.83691,0.24219,6.62429,-3.00249,7.25488
obs_wrf-s3cn_arw_20150525-0000_17_17_010_00,obs_wrf-s3cn_arw_20150525-0000_17_17_010,2015-05-25 17:00:00,17.00000,17.00000,1.00000,-99.39046,30.65764,13.84992,52.37695,0.00000,12.09541,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_18_22_011_00,obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 18:00:00,18.00000,18.00000,1.00000,-98.69838,30.31551,11.94314,31.20703,1.27246,5.94887,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_18_22_011_01,obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 19:00:00,19.00000,19.00000,2.00000,-98.32233,30.41756,18.47794,35.92090,4.88184,5.60644,6.53480,4.71387
obs_wrf-s3cn_arw_20150525-0000_18_22_011_02,obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 20:00:00,20.00000,20.00000,3.00000,-98.01249,30.56014,14.04653,25.75781,1.75879,5.47241,-4.43141,-10.16309
obs_wrf-s3cn_arw_20150525-0000_18_22_011_03,obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 21:00:00,21.00000,21.00000,4.00000,-97.38380,30.65524,16.66433,30.07031,6.23535,4.91243,2.61780,4.31250
obs_wrf-s3cn_arw_20150525-0000_18_22_011_04,obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 22:00:00,22.00000,22.00000,5.00000,-97.01216,30.83360,12.31401,24.67871,2.59082,4.42116,-4.35032,-5.39160
obs_wrf-s3cn_arw_20150525-0000_18_18_012_00,obs_wrf-s3cn_arw_20150525-0000_18_18_012,2015-05-25 18:00:00,18.00000,18.00000,1.00000,-100.03683,31.02153,11.97972,37.23828,1.28906,7.15749,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_19_20_013_00,obs_wrf-s3cn_arw_20150525-0000_19_20_013,2015-05-25 19:00:00,19.00000,19.00000,1.00000,-98.07205,31.14930,10.49998,24.94141,0.00000,5.73889,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_19_20_013_01,obs_wrf-s3cn_arw_20150525-0000_19_20_013,2015-05-25 20:00:00,20.00000,20.00000,2.00000,-97.33399,31.26935,10.70130,15.61035,4.35156,2.93187,0.20131,-9.33105
obs_wrf-s3cn_arw_20150525-0000_19_20_014_00,obs_wrf-s3cn_arw_20150525-0000_19_20_014,2015-05-25 19:00:00,19.00000,19.00000,1.00000,-98.47362,31.63435,10.12216,20.66699,1.83984,3.87265,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_19_20_014_01,obs_wrf-s3cn_arw_20150525-0000_19_20_014,2015-05-25 20:00:00,20.00000,20.00000,2.00000,-97.87727,32.33066,13.36299,27.40527,2.45703,4.89233,3.24083,6.73828
obs_wrf-s3cn_arw_20150525-0000_19_19_015_00,obs_wrf-s3cn_arw_20150525-0000_19_19_015,2015-05-25 19:00:00,19.00000,19.00000,1.00000,-98.23711,32.12668,11.69263,28.56348,1.83301,6.29099,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_19_20_016_00,obs_wrf-s3cn_arw_20150525-0000_19_20_016,2015-05-25 19:00:00,19.00000,19.00000,1.00000,-97.66266,33.49071,11.51354,33.69727,1.48535,5.42657,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_19_20_016_01,obs_wrf-s3cn_arw_20150525-0000_19_20_016,2015-05-25 20:00:00,20.00000,20.00000,2.00000,-96.96380,33.65768,11.70745,38.64551,0.00000,7.38885,0.19391,4.94824
obs_wrf-s3cn_arw_20150525-0000_20_21_017_00,obs_wrf-s3cn_arw_20150525-0000_20_21_017,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-98.58947,30.28679,11.94566,20.35059,0.66992,4.52181,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_21_017_01,obs_wrf-s3cn_arw_20150525-0000_20_21_017,2015-05-25 21:00:00,21.00000,21.00000,2.00000,-97.90546,29.71648,11.15748,21.19141,2.41113,4.90367,-0.78818,0.84082
obs_wrf-s3cn_arw_20150525-0000_20_20_018_00,obs_wrf-s3cn_arw_20150525-0000_20_20_018,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-97.60261,30.41181,10.11706,22.37695,1.59277,4.95380,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_20_019_00,obs_wrf-s3cn_arw_20150525-0000_20_20_019,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-96.51383,31.25576,9.46748,15.99023,1.72168,3.20714,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_20_020_00,obs_wrf-s3cn_arw_20150525-0000_20_20_020,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-97.80930,31.41629,11.60889,26.97363,0.76660,4.97375,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_20_021_00,obs_wrf-s3cn_arw_20150525-0000_20_20_021,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-98.20266,31.69370,8.89462,18.00098,1.36230,3.52034,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_22_022_00,obs_wrf-s3cn_arw_20150525-0000_20_22_022,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-96.52988,33.76272,10.90521,35.76562,0.00000,7.43925,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_22_022_01,obs_wrf-s3cn_arw_20150525-0000_20_22_022,2015-05-25 21:00:00,21.00000,21.00000,2.00000,-96.20796,33.76510,9.89058,19.35938,2.08887,3.82451,-1.01464,-16.40625
obs_wrf-s3cn_arw_20150525-0000_20_22_022_02,obs_wrf-s3cn_arw_20150525-0000_20_22_022,2015-05-25 22:00:00,22.00000,22.00000,3.00000,-96.28390,33.07062,10.54146,20.19434,2.75977,3.28140,0.65088,0.83496
obs_wrf-s3cn_arw_20150525-0000_20_21_023_00,obs_wrf-s3cn_arw_20150525-0000_20_21_023,2015-05-25 20:00:00,20.00000,20.00000,1.00000,-97.74818,37.54769,12.06386,29.42188,0.00000,7.86261,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_20_21_023_01,obs_wrf-s3cn_arw_20150525-0000_20_21_023,2015-05-25 21:00:00,21.00000,21.00000,2.00000,-97.63492,37.66461,11.52695,29.02051,0.00000,6.08249,-0.53691,-0.40137
obs_wrf-s3cn_arw_20150525-0000_21_22_024_00,obs_wrf-s3cn_arw_20150525-0000_21_22_024,2015-05-25 21:00:00,21.00000,21.00000,1.00000,-91.34675,31.58177,11.95064,31.06250,0.00000,7.50002,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_21_22_024_01,obs_wrf-s3cn_arw_20150525-0000_21_22_024,2015-05-25 22:00:00,22.00000,22.00000,2.00000,-91.29955,31.86839,10.20671,22.80078,0.49316,5.43813,-1.74393,-8.26172
obs_wrf-s3cn_arw_20150525-0000_21_21_025_00,obs_wrf-s3cn_arw_20150525-0000_21_21_025,2015-05-25 21:00:00,21.00000,21.00000,1.00000,-90.72945,31.88410,13.70870,37.05957,0.47656,8.77509,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_21_21_026_00,obs_wrf-s3cn_arw_20150525-0000_21_21_026,2015-05-25 21:00:00,21.00000,21.00000,1.00000,-96.86872,33.01648,11.65736,22.92383,4.14746,4.10072,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_21_22_027_00,obs_wrf-s3cn_arw_20150525-0000_21_22_027,2015-05-25 21:00:00,21.00000,21.00000,1.00000,-97.68467,38.15585,11.58008,29.12012,0.00000,6.64481,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_21_22_027_01,obs_wrf-s3cn_arw_20150525-0000_21_22_027,2015-05-25 22:00:00,22.00000,22.00000,2.00000,-97.96587,38.51668,13.96754,31.70312,0.00000,7.07392,2.38746,2.58301
obs_wrf-s3cn_arw_20150525-0000_21_21_028_00,obs_wrf-s3cn_arw_20150525-0000_21_21_028,2015-05-25 21:00:00,21.00000,21.00000,1.00000,-98.19101,42.90366,13.16379,48.77930,0.00000,10.90040,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_22_22_029_00,obs_wrf-s3cn_arw_20150525-0000_22_22_029,2015-05-25 22:00:00,22.00000,22.00000,1.00000,-81.60502,22.43298,12.63126,30.85742,0.00000,7.18885,0.00000,0.00000
