Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-22 20:00:00,2015-05-23 00:00:00,5.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_30_32_020,-11275.57293,577755.06315,-10.00000,-8.00000
wrf-s3cn_arw_uh_max_20150522-0000_21_23_001,2015-05-22 21:00:00,2015-05-22 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_25_28_012,-174344.13537,-45320.91684,-4.00000,-5.00000
wrf-s3cn_arw_uh_max_20150522-0000_21_22_002,2015-05-22 21:00:00,2015-05-22 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_22_22_008,-180819.70942,-149144.71009,-1.00000,0.00000
wrf-s3cn_arw_uh_max_20150522-0000_23_25_003,2015-05-22 23:00:00,2015-05-23 01:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150522-0000_24_26_004,2015-05-23 00:00:00,2015-05-23 02:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150522-0000_25_25_005,2015-05-23 01:00:00,2015-05-23 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_22_22_007,10639.66436,-97556.72880,3.00000,3.00000
wrf-s3cn_arw_uh_max_20150522-0000_25_25_006,2015-05-23 01:00:00,2015-05-23 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_22_22_009,12225.20087,7203.54274,3.00000,3.00000
wrf-s3cn_arw_uh_max_20150522-0000_26_27_007,2015-05-23 02:00:00,2015-05-23 03:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150522-0000_26_26_008,2015-05-23 02:00:00,2015-05-23 02:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150522-0000_27_27_009,2015-05-23 03:00:00,2015-05-23 03:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_24_25_011,13111.94037,-21350.79723,3.00000,2.00000
wrf-s3cn_arw_uh_max_20150522-0000_27_28_010,2015-05-23 03:00:00,2015-05-23 04:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150522-0000_28_28_011,2015-05-23 04:00:00,2015-05-23 04:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_28_28_016,-56051.11454,-119196.74420,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150522-0000_29_29_012,2015-05-23 05:00:00,2015-05-23 05:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_34_34_022,-91356.25731,536646.35135,-5.00000,-5.00000
wrf-s3cn_arw_uh_max_20150522-0000_30_30_013,2015-05-23 06:00:00,2015-05-23 06:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_30_31_019,56078.26543,-147522.25718,0.00000,-1.00000
wrf-s3cn_arw_uh_max_20150522-0000_31_31_014,2015-05-23 07:00:00,2015-05-23 07:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_31_31_021,-61184.78226,-113556.74407,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150522-0000_32_32_015,2015-05-23 08:00:00,2015-05-23 08:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150522-0000_35_35_023,-111903.09925,42178.89366,-3.00000,-3.00000
