Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150529-0000_20_20_000,2015-05-29 20:00:00,2015-05-29 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_23_23_021
obs_wrf-s3cn_arw_20150529-0000_21_21_001,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_19_19_002
obs_wrf-s3cn_arw_20150529-0000_21_23_002,2015-05-29 21:00:00,2015-05-29 23:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_21_012
obs_wrf-s3cn_arw_20150529-0000_21_23_003,2015-05-29 21:00:00,2015-05-29 23:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_24_013
obs_wrf-s3cn_arw_20150529-0000_22_22_004,2015-05-29 22:00:00,2015-05-29 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_21_009
obs_wrf-s3cn_arw_20150529-0000_22_25_005,2015-05-29 22:00:00,2015-05-30 01:00:00,4.00000,wrf-s3cn_arw_uh_max_20150529-0000_22_25_018
obs_wrf-s3cn_arw_20150529-0000_23_25_006,2015-05-29 23:00:00,2015-05-30 01:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_23_010
obs_wrf-s3cn_arw_20150529-0000_23_23_007,2015-05-29 23:00:00,2015-05-29 23:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_21_011
obs_wrf-s3cn_arw_20150529-0000_23_24_008,2015-05-29 23:00:00,2015-05-30 00:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_21_22_014
obs_wrf-s3cn_arw_20150529-0000_24_25_009,2015-05-30 00:00:00,2015-05-30 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_12_13_000
obs_wrf-s3cn_arw_20150529-0000_24_27_010,2015-05-30 00:00:00,2015-05-30 03:00:00,4.00000,wrf-s3cn_arw_uh_max_20150529-0000_26_28_034
obs_wrf-s3cn_arw_20150529-0000_24_24_011,2015-05-30 00:00:00,2015-05-30 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_23_23_023
obs_wrf-s3cn_arw_20150529-0000_24_24_012,2015-05-30 00:00:00,2015-05-30 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_19_19_001
obs_wrf-s3cn_arw_20150529-0000_24_25_013,2015-05-30 00:00:00,2015-05-30 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_24_25_028
obs_wrf-s3cn_arw_20150529-0000_24_24_014,2015-05-30 00:00:00,2015-05-30 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_24_25_029
obs_wrf-s3cn_arw_20150529-0000_24_24_015,2015-05-30 00:00:00,2015-05-30 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_23_24_024
obs_wrf-s3cn_arw_20150529-0000_24_25_016,2015-05-30 00:00:00,2015-05-30 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_23_23_025
obs_wrf-s3cn_arw_20150529-0000_24_25_017,2015-05-30 00:00:00,2015-05-30 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_24_26_030
obs_wrf-s3cn_arw_20150529-0000_25_25_018,2015-05-30 01:00:00,2015-05-30 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_23_23_022
obs_wrf-s3cn_arw_20150529-0000_25_25_019,2015-05-30 01:00:00,2015-05-30 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_25_25_031
obs_wrf-s3cn_arw_20150529-0000_25_25_020,2015-05-30 01:00:00,2015-05-30 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_26_27_037
obs_wrf-s3cn_arw_20150529-0000_26_27_021,2015-05-30 02:00:00,2015-05-30 03:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_26_27_036
obs_wrf-s3cn_arw_20150529-0000_27_29_022,2015-05-30 03:00:00,2015-05-30 05:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_26_27_035
obs_wrf-s3cn_arw_20150529-0000_30_30_023,2015-05-30 06:00:00,2015-05-30 06:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_30_30_046
obs_wrf-s3cn_arw_20150529-0000_30_31_024,2015-05-30 06:00:00,2015-05-30 07:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_29_29_045
obs_wrf-s3cn_arw_20150529-0000_30_33_025,2015-05-30 06:00:00,2015-05-30 09:00:00,4.00000,wrf-s3cn_arw_uh_max_20150529-0000_27_27_041
obs_wrf-s3cn_arw_20150529-0000_32_32_026,2015-05-30 08:00:00,2015-05-30 08:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_29_29_044
obs_wrf-s3cn_arw_20150529-0000_32_34_027,2015-05-30 08:00:00,2015-05-30 10:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_27_29_039
obs_wrf-s3cn_arw_20150529-0000_32_32_028,2015-05-30 08:00:00,2015-05-30 08:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_30_30_047
obs_wrf-s3cn_arw_20150529-0000_32_35_029,2015-05-30 08:00:00,2015-05-30 11:00:00,4.00000,wrf-s3cn_arw_uh_max_20150529-0000_27_28_040
obs_wrf-s3cn_arw_20150529-0000_32_32_030,2015-05-30 08:00:00,2015-05-30 08:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_31_31_049
obs_wrf-s3cn_arw_20150529-0000_32_32_031,2015-05-30 08:00:00,2015-05-30 08:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_28_28_043
obs_wrf-s3cn_arw_20150529-0000_33_35_032,2015-05-30 09:00:00,2015-05-30 11:00:00,3.00000,wrf-s3cn_arw_uh_max_20150529-0000_28_29_042
obs_wrf-s3cn_arw_20150529-0000_34_34_033,2015-05-30 10:00:00,2015-05-30 10:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_27_27_038
obs_wrf-s3cn_arw_20150529-0000_35_35_034,2015-05-30 11:00:00,2015-05-30 11:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_31_31_048
obs_wrf-s3cn_arw_20150529-0000_35_36_035,2015-05-30 11:00:00,2015-05-30 12:00:00,2.00000,wrf-s3cn_arw_uh_max_20150529-0000_34_35_050
obs_wrf-s3cn_arw_20150529-0000_36_36_036,2015-05-30 12:00:00,2015-05-30 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150529-0000_36_36_051
